2015-01-14 10:55:35,015 | ERROR | MessagingDaemon | pingDatabaseServer() | -1 | Socket Exception Connection timed out: connect
2015-01-14 10:55:35,016 | ERROR | MessagingDaemon | runDaemon() | -1 | The database server: 197.232.26.3 servicing on port: 3306 appears to be down. Reason: internal function for pingDatabaseServer() returned a PING_FAILED status.
2015-01-14 10:55:56,015 | ERROR | MessagingDaemon | pingDatabaseServer() | -1 | Socket Exception Connection timed out: connect
2015-01-14 10:56:44,860 | ERROR | MessagingDaemon | pingDatabaseServer() | -1 | Socket Exception Connection timed out: connect
2015-01-14 10:56:44,860 | ERROR | MessagingDaemon | runDaemon() | -1 | The database server: 197.232.26.3 servicing on port: 3306 appears to be down. Reason: internal function for pingDatabaseServer() returned a PING_FAILED status.
2015-01-14 10:57:05,856 | ERROR | MessagingDaemon | pingDatabaseServer() | -1 | Socket Exception Connection timed out: connect
2015-01-14 10:57:27,362 | ERROR | MessagingDaemon | pingDatabaseServer() | -1 | Socket Exception Connection timed out: connect
2015-01-14 10:57:48,875 | ERROR | MessagingDaemon | pingDatabaseServer() | -1 | Socket Exception Connection timed out: connect
2015-01-14 10:59:42,286 | ERROR | MessagingDaemon | pingDatabaseServer() | -1 | Socket Exception No route to host: connect
2015-01-14 10:59:42,286 | ERROR | MessagingDaemon | runDaemon() | -1 | The database server: 197.232.26.3 servicing on port: 3306 appears to be down. Reason: internal function for pingDatabaseServer() returned a PING_FAILED status.
2015-01-14 10:59:42,289 | ERROR | MessagingDaemon | pingDatabaseServer() | -1 | Socket Exception No route to host: connect
2015-01-14 10:59:42,791 | ERROR | MessagingDaemon | pingDatabaseServer() | -1 | Socket Exception No route to host: connect
2015-01-14 10:59:43,294 | ERROR | MessagingDaemon | pingDatabaseServer() | -1 | Socket Exception No route to host: connect
2015-01-14 10:59:43,797 | ERROR | MessagingDaemon | pingDatabaseServer() | -1 | Socket Exception No route to host: connect
2015-01-14 10:59:44,299 | ERROR | MessagingDaemon | pingDatabaseServer() | -1 | Socket Exception No route to host: connect
2015-01-14 10:59:44,803 | ERROR | MessagingDaemon | pingDatabaseServer() | -1 | Socket Exception No route to host: connect
2015-01-14 10:59:45,306 | ERROR | MessagingDaemon | pingDatabaseServer() | -1 | Socket Exception No route to host: connect
